team,Opponent,Date,Venue,qatar,goles_local,goles_visitate
Qatar,Ecuador,2022-11-20,Neutral,TRUE,,
England,Iran,2022-11-21,Neutral,TRUE,,
Senegal,Netherlands,2022-11-21,Neutral,TRUE,,
USA,Wales,2022-11-21,Neutral,TRUE,,
Argentina,Saudi Arabia,2022-11-22,Neutral,TRUE,,
Denmark,Tunisia,2022-11-22,Neutral,TRUE,,
Mexico,Poland,2022-11-22,Neutral,TRUE,,
France,Australia,2022-11-22,Neutral,TRUE,,
Morocco,Croatia,2022-11-23,Neutral,TRUE,,
Germany,Japan,2022-11-23,Neutral,TRUE,,
Spain,Costa Rica,2022-11-23,Neutral,TRUE,,
Belgium,Canada,2022-11-23,Neutral,TRUE,,
Switzerland,Cameroon,2022-11-24,Neutral,TRUE,,
Uruguay,South Korea,2022-11-24,Neutral,TRUE,,
Portugal,Ghana,2022-11-24,Neutral,TRUE,,
Brazil,Serbia,2022-11-24,Neutral,TRUE,,
Wales,Iran,2022-11-25,Neutral,TRUE,,
Qatar,Senegal,2022-11-25,Neutral,TRUE,,
Netherlands,Ecuador,2022-11-25,Neutral,TRUE,,
England,USA,2022-11-25,Neutral,TRUE,,
Tunisia,Australia,2022-11-26,Neutral,TRUE,,
Poland,Saudi Arabia,2022-11-26,Neutral,TRUE,,
France,Denmark,2022-11-26,Neutral,TRUE,,
Argentina,Mexico,2022-11-26,Neutral,TRUE,,
Japan,Costa Rica,2022-11-27,Neutral,TRUE,,
Belgium,Morocco,2022-11-27,Neutral,TRUE,,
Croatia,Canada,2022-11-27,Neutral,TRUE,,
Spain,Germany,2022-11-27,Neutral,TRUE,,
Cameroon,Serbia,2022-11-28,Neutral,TRUE,,
South Korea,Ghana,2022-11-28,Neutral,TRUE,,
Brazil,Switzerland,2022-11-28,Neutral,TRUE,,
Portugal,Uruguay,2022-11-28,Neutral,TRUE,,
Ecuador,Senegal,2022-11-29,Neutral,TRUE,,
Netherlands,Qatar,2022-11-29,Neutral,TRUE,,
Wales,England,2022-11-29,Neutral,TRUE,,
Iran,USA,2022-11-29,Neutral,TRUE,,
Australia,Denmark,2022-11-30,Neutral,TRUE,,
Tunisia,France,2022-11-30,Neutral,TRUE,,
Poland,Argentina,2022-11-30,Neutral,TRUE,,
Saudi Arabia,Mexico,2022-11-30,Neutral,TRUE,,
Croatia,Belgium,2022-12-01,Neutral,TRUE,,
Canada,Morocco,2022-12-01,Neutral,TRUE,,
Costa Rica,Germany,2022-12-01,Neutral,TRUE,,
Japan,Spain,2022-12-01,Neutral,TRUE,,
Ghana,Uruguay,2022-12-02,Neutral,TRUE,,
South Korea,Portugal,2022-12-02,Neutral,TRUE,,
Cameroon,Brazil,2022-12-02,Neutral,TRUE,,
Serbia,Switzerland,2022-12-02,Neutral,TRUE,,
