country,Bet365-21/2,Skybet-21/2,Paddy Power-21/2,William Hill-21/2,888sport-21/2,Betfair Sportsbook-21/2,Bet Victor-21/2,Coral-21/4,Unibet-21/2,Spreadex-21/2,Betfred-21/2,SBK-,Boyle Sports-21/2,10Bet-21/2,Sport Nation-21/2,Sporting Index-,BetUK-21/2,LiveScore Bet-21/2,QuinnBet-21/2,Betway-21/2,Ladbrokes-21/4,Parimatch-21/2,VBet-,Betfair-Winonly,Smarkets-Winonly,Matchbook-Winonly
Brazil,4,4,4,4,4,4,3.5,4,4,4,4,4.3,4,3.8,3.5,4,4,4,4,4.5,4,3.5,4,4.2,4.2,4.4
France,6,6,5.5,6,5.5,5.5,6.5,6,6.5,5.5,6,6.6,5.5,6.75,6.5,6,6.5,6.5,6,6,6,6.5,6,6.2,6.2,6.4
Argentina,6.5,6.5,6.5,7,6.5,6.5,6,6,6.5,5.5,7,6,6.5,6,6,6.5,6.5,6,6.5,6.5,6,6,6.5,6.2,5.6,6.4
England,7,7,7.5,7,7.5,7.5,7,7,8.5,7.5,7,8.6,7,8.5,9,8,8.5,8.5,7,8,7,7,7,8.2,8.2,8.4
Spain,8,8,8,8,8,8,8,8,9,7.5,8,9,8,8,8,8,9,8,8,9,8,8,8,8.8,8.6,8.8
Germany,10,9,9,10,9,9,11,10,11,9,10,11.5,10,10,10,10,11,10,10,11,10,11,10,11,11,11.2
Netherlands,12,12,13,12,13,13,12,12,13,10,12,14.5,12,12,12,13,13,12,12,14,12,12,12,14.2,13.8,14.2
Portugal,14,16,14,12,14,14,12,14,15,14,12,17,12,14,14,13,15,14,14,16,14,12,14,16.4,16.4,16.6
Belgium,14,14,14,12,14,14,16,12,17,14,12,18,12,14,14,15,17,14,14,16,12,16,14,17.2,17.2,17.6
Denmark,28,28,30,28,30,30,33,28,33,35,28,37,28,28,28,30,33,28,28,33,28,33,28,36,35,36
Croatia,50,50,50,50,50,50,50,40,40,40,40,54,40,50,50,50,40,50,50,50,40,50,50,53,52,53
Uruguay,50,40,50,50,50,50,66,50,50,50,40,64,50,50,50,50,50,50,50,50,50,66,50,62,62,63
Senegal,80,80,90,80,90,90,80,80,100,70,80,94,80,80,80,80,100,80,80,80,80,80,80,90,90,92
Switzerland,80,66,80,80,80,80,100,80,100,100,80,94,80,80,80,100,100,80,80,100,80,100,80,133,107,136
Serbia,80,100,90,100,90,90,100,100,70,80,100,109,100,80,80,100,70,80,80,100,100,100,80,107,105,107
Mexico,150,80,90,100,90,90,125,100,150,200,100,249,100,125,125,150,150,125,150,150,100,125,150,239,239,244
Poland,125,150,125,100,125,125,150,100,200,200,100,249,100,125,125,150,200,125,125,200,100,150,125,239,239,244
USA,100,150,125,100,125,125,100,100,150,200,100,269,100,125,125,200,150,125,100,150,100,100,100,259,259,264
Wales,150,150,125,100,125,125,150,150,250,250,150,299,100,125,125,200,250,125,150,250,150,150,150,316,287,322
Ecuador,150,100,175,150,175,175,200,150,250,250,150,299,150,175,175,200,250,200,150,150,150,200,250,316,287,322
Japan,250,250,300,250,300,300,150,250,200,300,200,299,200,250,250,300,200,250,250,250,250,150,250,403,287,420
South Korea,250,250,300,250,300,300,400,250,350,300,250,299,250,200,200,300,350,200,250,250,250,400,250,345,287,352
Cameroon,250,250,250,250,250,250,250,250,400,400,200,499,200,250,250,300,400,250,250,500,250,250,250,489,479,509
Qatar,250,500,500,250,500,500,200,250,400,400,200,499,250,300,300,300,400,300,250,500,250,200,250,537,479,548
Ghana,250,500,300,150,300,300,300,250,400,400,200,499,250,250,250,300,400,250,250,500,250,300,400,469,479,489
Morocco,200,250,250,200,250,250,150,250,200,250,200,299,200,250,250,300,200,250,200,500,250,150,200,287,287,352
Canada,150,500,300,250,300,300,150,250,250,500,150,499,250,250,250,400,250,250,150,500,250,150,150,565,479,587
Australia,250,500,500,400,500,500,250,250,750,500,200,499,300,250,250,500,750,250,250,500,250,250,250,748,479,783
Iran,500,250,500,500,500,500,750,500,750,500,500,499,500,500,500,500,750,500,500,500,500,750,500,796,479,812
Tunisia,350,500,500,300,500,500,300,400,750,750,250,999,300,300,300,500,750,300,300,500,400,300,750,979,959,979
Saudi Arabia,750,750,500,500,500,500,750,500,1000,750,500,999,500,800,800,750,1000,750,500,500,500,750,750,979,959,979
Costa Rica,750,750,500,500,500,500,1000,500,750,750,500,999,1000,800,800,750,750,750,500,500,500,1000,750,979,959,979
