team,Opponent,local,visitante,empate,Date,id_team,id_opponent,id_match
Ecuador,Qatar,109.384615384615,261.076923076923,230.538461538462,2022-11-20,10,23,10-23-2022-11-20
England,Iran,-330.833333333333,1073.33333333333,392.5,2022-11-21,11,,11-2022-11-21
Netherlands,Senegal,-161.230769230769,466.923076923077,271.923076923077,2022-11-21,20,25,20-25-2022-11-21
United States,Wales,150.384615384615,198.846153846154,205.923076923077,2022-11-21,30,32,30-32-2022-11-21
Argentina,Saudi Arabia,-607.615384615385,1663.46153846154,581.153846153846,2022-11-22,1,24,1-24-2022-11-22
Denmark,Tunisia,-226.153846153846,690.384615384615,312.692307692308,2022-11-22,9,29,9-29-2022-11-22
Mexico,Poland,170.615384615385,169.923076923077,210.384615384615,2022-11-22,18,21,18-21-2022-11-22
Australia,France,1212.69230769231,-444,501.153846153846,2022-11-22,2,12,2-12-2022-11-22
Croatia,Morocco,-118.461538461538,367.692307692308,226.769230769231,2022-11-23,8,19,8-19-2022-11-23
Germany,Japan,-256.75,671.25,374.166666666667,2022-11-23,13,16,13-16-2022-11-23
Costa Rica,Spain,1420.83333333333,-508.833333333333,527.083333333333,2022-11-23,7,27,7-27-2022-11-23
Belgium,Canada,-295.916666666667,780.416666666667,396.25,2022-11-23,3,6,3-6-2022-11-23
Cameroon,Switzerland,407.727272727273,-130.545454545455,233.909090909091,2022-11-24,5,28,5-28-2022-11-24
Korea Republic,Uruguay,375,-123.636363636364,233.181818181818,2022-11-24,17,31,17-31-2022-11-24
Ghana,Portugal,711.666666666667,-228.916666666667,309.583333333333,2022-11-24,14,22,14-22-2022-11-24
Brazil,Serbia,-225.083333333333,611.25,337.75,2022-11-24,4,26,4-26-2022-11-24
IR Iran,Wales,257.857142857143,115,208.714285714286,2022-11-25,15,32,15-32-2022-11-25
Qatar,Senegal,273.333333333333,70,227.166666666667,2022-11-25,23,25,23-25-2022-11-25
Ecuador,Netherlands,410.714285714286,-156.142857142857,285.714285714286,2022-11-25,10,20,10-20-2022-11-25
England,USA,-149.571428571429,432.142857142857,263.571428571429,2022-11-25,11,,11-2022-11-25
Australia,Tunisia,158.857142857143,193.571428571429,195.428571428571,2022-11-26,2,29,2-29-2022-11-26
Poland,Saudi Arabia,-158.714285714286,447.142857142857,271.428571428571,2022-11-26,21,24,21-24-2022-11-26
Denmark,France,306.666666666667,-107.833333333333,230.5,2022-11-26,9,12,9-12-2022-11-26
Argentina,Mexico,-170.714285714286,487.857142857143,274.285714285714,2022-11-26,1,18,1-18-2022-11-26
Costa Rica,Japan,328.571428571429,-113,229.857142857143,2022-11-27,7,16,7-16-2022-11-27
Belgium,Morocco,-189.428571428571,505,303.571428571429,2022-11-27,3,19,3-19-2022-11-27
Canada,Croatia,347.857142857143,-124.714285714286,253.571428571429,2022-11-27,6,8,6-8-2022-11-27
Germany,Spain,177.285714285714,150.571428571429,224.142857142857,2022-11-27,13,27,13-27-2022-11-27
Cameroon,Serbia,309.166666666667,-73.1666666666667,226.166666666667,2022-11-28,5,26,5-26-2022-11-28
Ghana,South Korea,195.833333333333,158.666666666667,191.666666666667,2022-11-28,14,,14-2022-11-28
Brazil,Switzerland,-208.428571428571,547.142857142857,311.428571428571,2022-11-28,4,28,4-28-2022-11-28
Portugal,Uruguay,105.571428571429,267.142857142857,223.714285714286,2022-11-28,22,31,22-31-2022-11-28
Ecuador,Senegal,185.666666666667,140.833333333333,199.833333333333,2022-11-29,10,25,10-25-2022-11-29
Netherlands,Qatar,-331.333333333333,603.333333333333,403.333333333333,2022-11-29,20,23,20-23-2022-11-29
England,Wales,-177.666666666667,464.166666666667,274.166666666667,2022-11-29,11,32,11-32-2022-11-29
IR Iran,USA,180.833333333333,114,216.166666666667,2022-11-29,15,,15-2022-11-29
Australia,Denmark,506,-172.8,244,2022-11-30,2,9,2-9-2022-11-30
France,Tunisia,-444.333333333333,864.333333333333,442.5,2022-11-30,12,29,12-29-2022-11-30
Argentina,Poland,-150.666666666667,361.666666666667,286.666666666667,2022-11-30,1,21,1-21-2022-11-30
Mexico,Saudi Arabia,-192.5,349.166666666667,-1415,2022-11-30,18,24,18-24-2022-11-30
Belgium,Croatia,-110.166666666667,181.166666666667,-1455,2022-12-01,3,8,3-8-2022-12-01
Canada,Morocco,-1823,-900.8,-1822,2022-12-01,6,19,6-19-2022-12-01
Costa Rica,Germany,-921.666666666667,-364.833333333333,409.166666666667,2022-12-01,7,13,7-13-2022-12-01
Japan,Spain,-990,-338.333333333333,-1299.16666666667,2022-12-01,16,27,16-27-2022-12-01
Ghana,Uruguay,-1710,-132,-1797,2022-12-02,14,31,14-31-2022-12-02
Portugal,South Korea,-283.2,509.8,108.2,2022-12-02,22,,22-2022-12-02
Brazil,Cameroon,-312.166666666667,730,-1323.33333333333,2022-12-02,4,5,4-5-2022-12-02
Serbia,Switzerland,-1864,-1879.2,-1814.4,2022-12-02,26,28,26-28-2022-12-02
