team,odd_win
Argentina,6.32608695652174
Australia,386.913043478261
Belgium,14.304347826087
Brazil,3.96086956521739
Cameroon,289.086956521739
Canada,280.391304347826
Costa Rica,699.95652173913
Croatia,47.1304347826087
Denmark,30.1304347826087
Ecuador,185.826086956522
England,7.59130434782609
France,6.0804347826087
Germany,10.0652173913043
Ghana,315.173913043478
IR Iran,532.565217391304
Japan,245.608695652174
Korea Republic,278.217391304348
Mexico,129.304347826087
Morocco,239.086956521739
Netherlands,12.3695652173913
Poland,142.347826086957
Portugal,13.9130434782609
Qatar,336.913043478261
Saudi Arabia,678.217391304348
Senegal,83.2173913043478
Serbia,90.3913043478261
Spain,8.15217391304348
Switzerland,86.0869565217391
Tunisia,469.521739130435
United States,131.260869565217
Uruguay,51.1304347826087
Wales,165.173913043478
